family,case,model,n,nmse_linear,nmse_db,energy_weighted_nmse_db,median_sample_nmse_db,p90_sample_nmse_db,amplitude_nmse,shape_correlation,gain_abs_error_db,gain_bias_db,predicted_gain_below_truth_20db_fraction
cruise,main,hold,3600,0.05787464642109424,-12.375116492411482,-11.597613966236333,-17.995731563227736,-7.125304231183269,0.007831978071145487,0.944587678561608,0.09317052214565882,-0.05990195401709204,0.0
cruise,main,linear,3600,0.0398029472644056,-14.00084768798726,-12.84539314763838,-19.84478685169698,-9.733450151793294,0.022723489385142685,0.9734099478688505,0.4357007297335998,0.4320673416107747,0.0
cruise,main,kalman,3600,0.038006685733950385,-14.201400001736149,-12.99810555114256,-20.07576344159738,-9.953060778155447,0.021226610593277857,0.9738294743001461,0.3860507841358789,0.3805842645686145,0.0
cruise,main,harmonic,3600,0.24528954260132094,-6.10320966621786,-5.708423355464824,-17.576718511488643,-5.724829623575881,0.12257689180272185,0.9211527090204051,0.5943448221360328,0.5496146975592799,0.0
cruise,main,cru,3600,0.04521941749501517,-13.446750364252011,-12.240162967236326,-19.19229250210931,-8.526191256403171,0.02034397060740149,0.9568636004047262,0.3223615487213758,-0.29396328462408544,0.0
cruise,main,latent_ode,3600,0.04759238705269834,-13.224625120994059,-12.16737029375017,-19.05998222862117,-8.352147684009054,0.01785038442100712,0.9543406170441044,0.1715977552275197,-0.06033828285188267,0.0
cruise,main,neural_flow,3600,0.0457573033374461,-13.395395781874145,-12.179437383811662,-19.27622052627713,-8.514176063802768,0.01885369183803252,0.9556031890130705,0.24457778975327074,-0.2347697775947649,0.0
cruise,main,tpatchgnn,3600,0.02027697386952948,-16.92996858501808,-15.66591512927721,-21.310437887822502,-12.456375416860682,0.010530808911486627,0.9812758617020315,0.20650658010877412,-0.047217464168800106,0.0
cruise,main,time_rwkv_csi,3600,0.04834023209547417,-13.156912687495987,-11.96446402524968,-19.04619026383814,-8.363643895448277,0.018351960573276704,0.9538501379638911,0.22797547257662523,-0.15458542047880428,0.0
cruise,main,ct_transformer_csi,3600,0.022807725145891408,-16.41918029315833,-15.367907890604611,-20.917696124531165,-11.697529056202523,0.011227380805319424,0.9790682805246776,0.2691513339804684,-0.2291118071133072,0.0
cruise,offgrid,hold,288,0.09031396535475425,-10.44245089026932,-9.79287850842985,-11.792368090445411,-6.783815717736218,0.00957825887359023,0.9128000237461593,0.15582322724973588,-0.09673430672935662,0.0
cruise,offgrid,linear,288,0.0578425668908393,-12.377524425151984,-11.376924998680739,-15.528958222303284,-8.48876239321487,0.03395848411188732,0.9629457679887613,0.7079535395282114,0.7053381529727226,0.0
